"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","EdgeCount","Indegree","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","Outdegree","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"1.3333333333333333","0.4998588989561935","0.75","0.26559714795008915","34","2","34","28","false","NOD2","39.294117647058826","0","34","6","0","0.9889908256880734","false","0","NOD2","19271","0.39294117647058824"
"1.2173913043478262","0.17484074911042882","0.8214285714285714","0.336937463471654","59","3","59","22","false","IL13","45.71186440677966","0","59","37","0","0.9905635648754916","false","0","IL13","15902","0.4968680913780398"
"0.0","0.0","0.0","0.0","1","0","1","1","false","CHAT","37.0","0","1","0","0","0.97391874180865","false","0","CHAT","0","0.0"
"1.5","0.13403912039973012","0.6666666666666666","0.35144927536231885","24","2","24","19","false","NLRP3","44.75","0","24","5","0","0.9865006553079947","false","0","NLRP3","3203","0.4661458333333333"
"1.0","0.04816938498131162","1.0","0.125","8","1","8","7","false","VCP","11.5","0","8","1","0","0.9773263433813894","false","0","VCP","691","0.22549019607843138"
"1.0","0.34374783277957854","1.0","0.2867063492063492","64","1","64","59","false","STAT1","42.34375","0","64","5","0","0.992005242463958","false","0","STAT1","12911","0.4363724226804124"
"1.875","0.014939269604621018","0.5333333333333333","0.3906122448979592","50","4","50","44","false","IL6R","49.08","0","50","6","0","0.9878112712975098","false","0","IL6R","3029","0.5577272727272727"
"1.8115942028985508","0.010608644199503352","0.5519999999999999","0.238562091503268","18","3","18","3","false","ATG5","30.88888888888889","0","18","15","0","0.9858453473132371","false","0","ATG5","474","0.31844215349369986"
"2.22972972972973","0.0026546041454298328","0.4484848484848485","0.11904761904761904","7","3","7","1","false","BTRC","23.571428571428573","0","7","6","0","0.9795543905635647","false","0","BTRC","85","0.34754797441364604"
"2.1538461538461537","0.008034264787577733","0.4642857142857143","0.3","6","4","6","3","false","GSN","30.166666666666668","0","6","3","0","0.980602883355177","false","0","GSN","229","0.3770833333333333"
"1.328358208955224","0.07535123581932553","0.7528089887640449","0.35014513788098695","53","3","53","6","false","IFNA2","46.943396226415096","0","53","47","0","0.9885976408912189","false","0","IFNA2","7122","0.5215932914046122"
"1.21875","0.12218300173231555","0.8205128205128205","0.3207297726070862","62","3","62","11","false","IFNB1","44.774193548387096","0","62","51","0","0.991480996068152","false","0","IFNB1","11808","0.46639784946236557"
"1.8055555555555556","0.02130803926540571","0.5538461538461539","0.2134502923976608","19","3","19","2","false","ATG16L1","29.42105263157895","0","19","17","0","0.9855832241153343","false","0","ATG16L1","739","0.3091412742382271"
"1.2857142857142858","0.07979647419424943","0.7777777777777777","0.3507692307692308","26","2","26","21","false","RELA","46.07692307692308","0","26","5","0","0.9863695937090432","false","0","RELA","3878","0.49545078577336643"
"1.1666666666666667","0.14134006094362594","0.8571428571428571","0.3195084485407066","63","3","63","17","false","IL10","44.63492063492063","0","63","46","0","0.991743119266055","false","0","IL10","14668","0.4601538209785632"
"2.5342465753424657","0.007619775739041793","0.3945945945945946","0.25555555555555554","10","4","10","1","false","ATG12","15.6","0","10","9","0","0.9796854521625165","false","0","ATG12","317","0.26"
"0.0","0.0","0.0","0.3249561659848042","59","0","59","59","false","TYK2","44.86440677966102","0","59","0","0","0.9893840104849279","false","0","TYK2","0","0.4984934086629002"
"2.0","0.004374823115098882","0.5","0.2619047619047619","7","4","7","2","false","CFL1","31.571428571428573","0","7","5","0","0.981389252948886","false","0","CFL1","167","0.3758503401360544"
"1.3055555555555556","0.1988853167158244","0.7659574468085106","0.35213032581453635","57","3","57","31","false","IL22","46.73684210526316","0","57","26","0","0.9900393184796854","false","0","IL22","16385","0.5135916714864083"
"0.0","0.0","0.0","0.26785714285714285","8","0","8","8","false","VIM","37.125","0","8","0","0","0.9836173001310616","false","0","VIM","0","0.40796703296703296"
"1.5142857142857142","0.008510770510475432","0.6603773584905661","0.4091591591591592","37","3","37","2","false","CTLA4","50.0","0","37","35","0","0.9876802096985583","false","0","CTLA4","835","0.5434782608695652"
"1.5","0.3770957694286847","0.6666666666666666","0.3108173076923077","65","3","65","58","false","JAK1","43.707692307692305","0","65","7","0","0.9901703800786369","false","0","JAK1","12651","0.4856410256410256"
"1.3255813953488371","0.09626622697921733","0.7543859649122807","0.3673469387755102","49","3","49","19","false","IL17A","47.61224489795919","0","49","30","0","0.9892529488859765","false","0","IL17A","9502","0.5175244010647737"
"1.4516129032258065","0.2116073248119103","0.6888888888888889","0.34448979591836737","50","3","50","32","false","IL23R","47.2","0","50","18","0","0.9893840104849279","false","0","IL23R","12809","0.5184615384615384"
"1.7","0.005279948654056706","0.5882352941176471","0.1","5","2","5","2","false","ERBIN","34.0","0","5","3","0","0.9820445609436436","false","0","ERBIN","172","0.4148148148148148"
"1.5","0.06718542389023471","0.6666666666666666","0.3","6","2","6","5","false","RB1CC1","10.833333333333334","0","6","1","0","0.9758846657929225","false","0","RB1CC1","858","0.367816091954023"
"1.8333333333333333","0.002039524665214483","0.5454545454545455","0.36363636363636365","12","2","12","11","false","RIPK2","37.333333333333336","0","12","1","0","0.9838794233289645","false","0","RIPK2","182","0.42424242424242425"
"2.5","0.0","0.4","0.5","4","4","4","3","false","RAB33A","13.0","0","4","1","0","0.9730013106159896","false","0","RAB33A","0","0.5652173913043478"
"2.0","0.02522935779816514","0.5","0.45","5","3","5","4","false","RAB33B","11.4","0","5","1","0","0.97391874180865","false","0","RAB33B","297","0.475"
