Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-9725371,"Nuclear events stimulated by ALK signaling in cancer",3,56,0.0034591389214899005,0.01735651581851405,0.0694260632740562,17,32,0.001999250281144571,9606,Homo sapiens,"IL10RA;STAT3;IFNLR1","","R-HSA-9851062;R-HSA-9851122;R-HSA-9851123;R-HSA-9701810;R-HSA-9851071;R-HSA-9851068;R-HSA-9851133;R-HSA-9851064;R-HSA-9851109;R-HSA-9851106;R-HSA-9851139;R-HSA-9851072;R-HSA-9851104;R-HSA-9851137;R-HSA-9851118;R-HSA-9725357;R-HSA-9851117"
R-HSA-2892247,"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation",2,21,0.0012971770955587127,0.017825639207397104,0.07130255682958841,2,16,9.996251405722854E-4,9606,Homo sapiens,"STAT3","","R-HSA-2972956;R-HSA-452515"
R-HSA-1839117,"Signaling by cytosolic FGFR1 fusion mutants",2,23,0.0014207177713262092,0.021117661110120478,0.08447064444048191,1,14,8.746719980007497E-4,9606,Homo sapiens,"STAT1;STAT3","","R-HSA-1888198"
R-HSA-975871,"MyD88 cascade initiated on plasma membrane",4,109,0.006732966829328556,0.021787325541389846,0.08515923243271628,8,70,0.0043733599900037485,9606,Homo sapiens,"RIPK2;NOD2;BTRC;RELA","","R-HSA-168166;R-HSA-450337;R-HSA-9630923;R-HSA-168184;R-HSA-5684250;R-HSA-450346;R-HSA-5684248;R-HSA-9773803"
R-HSA-168142,"Toll Like Receptor 10 (TLR10) Cascade",4,109,0.006732966829328556,0.021787325541389846,0.08515923243271628,8,71,0.004435836561289516,9606,Homo sapiens,"RIPK2;NOD2;BTRC;RELA","","R-HSA-168166;R-HSA-450337;R-HSA-9630923;R-HSA-168184;R-HSA-5684250;R-HSA-450346;R-HSA-5684248;R-HSA-9773803"
R-HSA-168176,"Toll Like Receptor 5 (TLR5) Cascade",4,109,0.006732966829328556,0.021787325541389846,0.08515923243271628,8,71,0.004435836561289516,9606,Homo sapiens,"RIPK2;NOD2;BTRC;RELA","","R-HSA-168166;R-HSA-450337;R-HSA-9630923;R-HSA-168184;R-HSA-5684250;R-HSA-450346;R-HSA-5684248;R-HSA-9773803"
R-HSA-5654710,"PI-3K cascade:FGFR3",2,24,0.0014824881092099574,0.022851127299561846,0.08515923243271628,6,7,4.3733599900037484E-4,9606,Homo sapiens,"FGFR3","","R-HSA-5654709;R-HSA-5654643;R-HSA-5654640;R-HSA-5654641;R-HSA-5654705;R-HSA-5654637"
R-HSA-166016,"Toll Like Receptor 4 (TLR4) Cascade",5,166,0.010253876088702206,0.022981412316556593,0.08515923243271628,10,113,0.007059852555291766,9606,Homo sapiens,"RIPK2;NOD2;BTRC;OPTN;RELA","","R-HSA-168166;R-HSA-450337;R-HSA-9823906;R-HSA-9630923;R-HSA-168184;R-HSA-9823934;R-HSA-5684250;R-HSA-450346;R-HSA-5684248;R-HSA-9773803"
R-HSA-9020702,"Interleukin-1 signaling",4,112,0.006918277842979801,0.023763080739062636,0.08515923243271628,10,59,0.0036861177058603025,9606,Homo sapiens,"RIPK2;NOD2;BTRC;RELA","","R-HSA-209063;R-HSA-168166;R-HSA-209125;R-HSA-209061;R-HSA-2730894;R-HSA-9630923;R-HSA-168184;R-HSA-5684250;R-HSA-5684248;R-HSA-9773803"
R-HSA-9662361,"Sensory processing of sound by outer hair cells of the cochlea",3,64,0.003953301624559887,0.024517442691070146,0.08515923243271628,1,8,4.998125702861427E-4,9606,Homo sapiens,"GSN;ACTB","","R-HSA-9663363"
